root,name,profile,ranks,aggs,steps,run_id,time_secs,time_secs_base,ratio
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n20-run1,00_noorca,512,1,20,1,2.5098,2.5098,1.0
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n20-run1,05_or_trace_mpisync,512,1,20,1,2.5583,2.5098,1.019324248944139
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n20-run1,07_or_tracetgt,512,1,20,1,2.5793,2.5098,1.02769144951789
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n20-run1,10_tau_tracetgt,512,1,20,1,2.659,2.5098,1.0594469678858873
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n20-run1,11_dftracer,512,1,20,1,2.5559,2.5098,1.018367997449996
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n20-run1,15_or_ntv_mpiwait_onlycnt,512,1,20,1,2.5656,2.5098,1.0222328472388238
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n20-run1,16_or_ntv_mpiwait_tracecnt,512,1,20,1,2.5697,2.5098,1.023866443541318
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r512-n20-run1,17_or_ntv_kokkos,512,1,20,1,2.5714,2.5098,1.0245437883496695
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r1024-n20-run1,00_noorca,1024,1,20,1,2.6312,2.6312,1.0
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r1024-n20-run1,05_or_trace_mpisync,1024,1,20,1,2.6587,2.6312,1.0104515050167224
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r1024-n20-run1,07_or_tracetgt,1024,1,20,1,2.6867,2.6312,1.0210930373973852
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r1024-n20-run1,10_tau_tracetgt,1024,1,20,1,2.7813,2.6312,1.0570462146549102
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r1024-n20-run1,11_dftracer,1024,1,20,1,2.6764,2.6312,1.0171784737002127
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r1024-n20-run1,15_or_ntv_mpiwait_onlycnt,1024,1,20,1,2.6885,2.6312,1.0217771359075705
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r1024-n20-run1,16_or_ntv_mpiwait_tracecnt,1024,1,20,1,2.6842,2.6312,1.0201429005776832
/mnt/ltio/orcajobs/suites/20251229,amr-agg1-r1024-n20-run1,17_or_ntv_kokkos,1024,1,20,1,2.6729,2.6312,1.0158482821526298
/mnt/ltio/orcajobs/suites/20251229,amr-agg2-r2048-n20-run1,00_noorca,2048,2,20,1,2.5637,2.5637,1.0
/mnt/ltio/orcajobs/suites/20251229,amr-agg2-r2048-n20-run1,05_or_trace_mpisync,2048,2,20,1,2.5235,2.5637,0.9843195381674923
/mnt/ltio/orcajobs/suites/20251229,amr-agg2-r2048-n20-run1,07_or_tracetgt,2048,2,20,1,2.5405,2.5637,0.990950579240941
/mnt/ltio/orcajobs/suites/20251229,amr-agg2-r2048-n20-run1,10_tau_tracetgt,2048,2,20,1,2.6467,2.5637,1.0323750828880134
/mnt/ltio/orcajobs/suites/20251229,amr-agg2-r2048-n20-run1,11_dftracer,2048,2,20,1,2.5888,2.5637,1.009790537114327
/mnt/ltio/orcajobs/suites/20251229,amr-agg2-r2048-n20-run1,15_or_ntv_mpiwait_onlycnt,2048,2,20,1,2.5156,2.5637,0.9812380543745369
/mnt/ltio/orcajobs/suites/20251229,amr-agg2-r2048-n20-run1,16_or_ntv_mpiwait_tracecnt,2048,2,20,1,2.5116,2.5637,0.9796778094160784
/mnt/ltio/orcajobs/suites/20251229,amr-agg2-r2048-n20-run1,17_or_ntv_kokkos,2048,2,20,1,2.512,2.5637,0.9798338339119242
/mnt/ltio/orcajobs/suites/20251229,amr-agg4-r4096-n20-run1,00_noorca,4096,4,20,1,2.9483,2.9483,1.0
/mnt/ltio/orcajobs/suites/20251229,amr-agg4-r4096-n20-run1,05_or_trace_mpisync,4096,4,20,1,2.996,2.9483,1.0161788149102873
/mnt/ltio/orcajobs/suites/20251229,amr-agg4-r4096-n20-run1,07_or_tracetgt,4096,4,20,1,3.0273,2.9483,1.0267951022623205
/mnt/ltio/orcajobs/suites/20251229,amr-agg4-r4096-n20-run1,10_tau_tracetgt,4096,4,20,1,3.0919,2.9483,1.0487060339856866
/mnt/ltio/orcajobs/suites/20251229,amr-agg4-r4096-n20-run1,11_dftracer,4096,4,20,1,3.009,2.9483,1.0205881355357325
/mnt/ltio/orcajobs/suites/20251229,amr-agg4-r4096-n20-run1,15_or_ntv_mpiwait_onlycnt,4096,4,20,1,3.0245,2.9483,1.0258454024353016
