query_name,trace_dir,run_type,data,total_us
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=326",2216950088
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=1",2397957597
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=25185705",2418779572
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=203",347671
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",417908
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=6540505",1700813
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=326",2256545102
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=1",2327441921
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=25185705",2293495945
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=203",337080
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",345693
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=6540505",1698337
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=326",2345265564
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=1",2326120440
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=25185705",2283316006
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=203",310365
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",360439
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n200-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=6540505",1655310
