query_name,trace_dir,run_type,data,total_us
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=251",1259730879
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=0",1243517567
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=16755076",1265769102
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=203",265292
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",328474
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=4945607",1267794
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=251",1248072136
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=0",1280801414
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=16755076",1292006292
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=203",284736
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",361811
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=4945607",1209820
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=251",1237008069
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=0",1238205379
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=16755076",1224362036
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=203",246295
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",302650
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r512-n200-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=4945607",1193949
