query_name,trace_dir,run_type,data,total_us
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=35",222998319
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=1",216096035
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=26191924",220409998
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",56696
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",71741
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=6538967",344978
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=35",225794316
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=1",218412253
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=26191924",224348287
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",55153
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",71184
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=6538967",328671
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=10.0,count=35",227215767
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/17_caliper_tracetgt/trace,caliper,"thresh_ms=1.0,count=1",221612873
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/17_caliper_tracetgt/trace,caliper,"window_s=1.0,count=26191924",229172434
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=10.0,count=23",54712
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"thresh_ms=1.0,count=0",61687
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/07_or_tracetgt/parquet,orca,"window_s=1.0,count=6538967",327328
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=10.0,count=117",392298121
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=1.0,count=0",397254468
count_sync_maxdur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=10.0,count=117",391415883
count_mpi_wait_dur,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/11_dftracer/trace,dftracer,"thresh_ms=1.0,count=0",388558052
count_window,/mnt/ltio/orcajobs/suites/20260102/amr-agg1-r1024-n20-run1/11_dftracer/trace,dftracer,"window_s=1.0,count=29802229",388916982
